,@type,address,pub_key,account_number,sequence
0,/cosmos.auth.v1beta1.BaseAccount,terra1ll8qpam3k7gh6wlehmeuac39x8qpyhfscrem9q,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'Ai5aw0f6Idm+8j149MM+vLxqLdRvy90fnbSgWqJ9NRq3'}",2172091,4
1,/cosmos.auth.v1beta1.BaseAccount,terra1ll8qplajtx2j6d93cf763f2jazwcqjhh7mpdxw,,1091601,0
2,/cosmos.auth.v1beta1.BaseAccount,terra1ll8p8k2wus87w2e3wmw8h55ev34wx4qdaklrke,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A2CbQSOf+6lIsHNAiyXzfd7RVuWio1lKTh8o4FAYN0WM'}",780139,2
3,/cosmos.auth.v1beta1.BaseAccount,terra1ll8ptpd58tlva434jtyq2zhhgfu5g598ccdkda,,2640295,0
4,/cosmos.auth.v1beta1.BaseAccount,terra1ll8pjc9fpq24uftk4ta4kjdn68exp403mw5e08,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A+wjxOjp5JslSYxFA+FZwqI3MsGwPjuJKwfUxvsiCUND'}",780140,8
5,/cosmos.auth.v1beta1.BaseAccount,terra1ll8zqr7f2p87yqagf27hdgx798rtq34weu8yrm,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'AjlJHfrHBTXhWAkIOCnCwvqE3uwNoyttQonHiuvIMpFh'}",3090056,1
6,/cosmos.auth.v1beta1.BaseAccount,terra1ll8zy5ls934dvw96aryh8v44xvt4kspyhakcca,,1967883,0
7,/cosmos.auth.v1beta1.BaseAccount,terra1ll8z6qz6efchxrgpsde5pq87smhtvpv689qapc,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A+e3fRS74BaUZMRNn+NPO1sP98OH4VJhXBIa0+MsDPOF'}",1062741,2
8,/cosmos.auth.v1beta1.BaseAccount,terra1ll8rzr8dw7kl6g4pdvf7qpc3xzwtvx65rwkfc7,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A2L0GdaX4SJgQuiQIBPSol56L8p2cjHwD+FknkPU10Qw'}",2256199,2
9,/cosmos.auth.v1beta1.BaseAccount,terra1ll8rs2v648zjtrarmsg4ukjhwf4pgnu5j7h83t,,780141,0
10,/cosmos.auth.v1beta1.BaseAccount,terra1ll8r4rymntwaxsha5agg408765pkhm5vk6532g,,780142,0
11,/cosmos.auth.v1beta1.BaseAccount,terra1ll8rm55vf0hqva0zwet0nw8fcq49exwp07r2my,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A5VN+bkqfe/3YCy2JdhEE3/8gLH6qqF3kJDNtSxLAKbB'}",1641331,32
12,/cosmos.auth.v1beta1.BaseAccount,terra1ll8yph9cxk4drx6tl3mgmdr55atxspyvyym4t3,,780143,0
13,/cosmos.auth.v1beta1.BaseAccount,terra1ll89yxg0h2gqq9am2njqhvsgte927up0v37rtv,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A3pWopXzCb4C+ioSP4HIktW4xNDmLzPiT18wi4e8XQ40'}",2176128,1
14,/cosmos.auth.v1beta1.BaseAccount,terra1ll892m2vdlfxce4sqxat7utdwh9g4rlxf7gczm,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'AxvJFKFhR6zoNQuEd3SB1n0iPkoV4ZpDj9ZcOfxEpOKV'}",3217505,9
15,/cosmos.auth.v1beta1.BaseAccount,terra1ll893lyynuzluyzev5n2ueznxduakk4ezpnwgr,,999706,0
16,/cosmos.auth.v1beta1.BaseAccount,terra1ll895dx5d0rwqqzuyhpxzcjcaxdrhy2gtsfymc,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'AjknlNZ+e32WWuzffO8JGUoJhiwK/ccvkC++8gGn4e6t'}",2647098,136
